block_number,timestamp,total_borrowed,base_interest_rate,supply_rate,available_liquidity,expected_liquidity,total_supply,locked_lp_usd_balance,credit_manager_borrowed,credit_manager_debt_limit,credit_manager_borrowable
21975000,2025-03-04 21:24:47,0,0,0,0,0,0,0,0,0,0
21978500,2025-03-05 09:08:23,0,0,0,9999,9999,9999,0,0,0,0
21982000,2025-03-05 20:52:59,0,0,0,9999,9999,9999,0,0,0,0
21985500,2025-03-06 08:35:47,0,0,0,73452692,73452692,73452692,0,0,0,0
21989000,2025-03-06 20:19:47,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
21992500,2025-03-07 08:04:59,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
21996000,2025-03-07 19:49:35,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
21999500,2025-03-08 07:34:11,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22003000,2025-03-08 19:17:47,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22006500,2025-03-09 07:02:23,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22010000,2025-03-09 18:46:59,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22013500,2025-03-10 06:30:47,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22017000,2025-03-10 18:14:23,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22020500,2025-03-11 05:58:35,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22024000,2025-03-11 17:43:59,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22027500,2025-03-12 05:27:35,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22031000,2025-03-12 17:11:11,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22034500,2025-03-13 04:55:11,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22038000,2025-03-13 16:38:59,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22041500,2025-03-14 04:21:23,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22045000,2025-03-14 16:04:47,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22048500,2025-03-15 03:49:11,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22052000,2025-03-15 15:31:59,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22055500,2025-03-16 03:15:11,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22059000,2025-03-16 14:58:59,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22062500,2025-03-17 02:42:59,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22066000,2025-03-17 14:25:11,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22069500,2025-03-18 02:10:35,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22073000,2025-03-18 13:54:47,0,0,0,33740503999,33740503999,33740503999,0,0,0,0
22076500,2025-03-19 01:39:47,1000000001,7195464128042402185714285,213189389285632972938227,32751508022,33751511552,33751508021,0,1000000001,100000000000000000000000000,32751508022
22080000,2025-03-19 13:23:35,1000000001,6968386076432900071428571,199941696633513452250876,33852063952,34852090388,34852063951,0,1000000001,100000000000000000000000000,33852063952
22083500,2025-03-20 01:08:35,15669014979,95488971188009679028571428,37543437169572642820944536,24183058858,39852987171,39852073835,33465625435,15669014979,100000000000000000000000000,24183058858
22087000,2025-03-20 12:52:59,15669014979,95488971188009679028571428,37541350461200106707566766,24183058858,39855202370,39852073835,33465625435,15669014979,100000000000000000000000000,24183058858
22090500,2025-03-21 00:35:23,16912681639,101541517698999998571428571,42442755696271084333349314,23544261517,40462484912,40456943154,33570494754,16912681639,100000000000000000000000000,23544261517
22094000,2025-03-21 12:18:59,20312681639,54612005328111495557142857,12275949650429794663051660,70044261517,90365007147,90356943154,33570494754,20312681639,100000000000000000000000000,70044261517
22097500,2025-03-22 00:00:35,39422681639,106209692778515077671428571,46436716211658645691376540,50732835645,90167247966,90155517282,33570494754,39422681639,100000000000000000000000000,50732835645
22101000,2025-03-22 11:42:35,39422681639,106209692778515077671428571,46433565175054091607355798,50732835645,90173366822,90155517282,33570494754,39422681639,100000000000000000000000000,50732835645
22104500,2025-03-22 23:26:23,39462681667,106332516944182699271428571,46531260160558199738771996,50692835617,90179510560,90155517282,33570494754,39462681667,100000000000000000000000000,50692835617
22108000,2025-03-23 11:08:35,39462681667,106332516944182699271428571,46528095693711743094749078,50692835617,90185643845,90155517282,33570494754,39462681667,100000000000000000000000000,50692835617
22111500,2025-03-23 22:51:59,39462681667,106332516944182699271428571,46524926250168550310839563,50692835617,90191787612,90155517282,33570494754,39462681667,100000000000000000000000000,50692835617
22115000,2025-03-24 10:34:23,39462681667,106332516944182699271428571,46521761743681311260213002,50692835617,90197922644,90155517282,33570494754,39462681667,100000000000000000000000000,50692835617
